tau,Sstar,Vstar
0.627667,72.5,27.5
0.627333,72.5,27.5
0.627,72.5,27.5
0.626667,72.5,27.5
0.626333,72.5,27.5
0.626,72.5,27.5
0.625667,72.5,27.5
0.625333,72.5,27.5
0.625,72.5,27.5
0.624667,72.5,27.5
0.624333,72.5,27.5
0.624,72.5,27.5
0.623667,72.5,27.5
0.623333,72.5,27.5
0.623,72.5,27.5
0.622667,72.5,27.5
0.622333,72.5,27.5
0.622,72.5,27.5
0.621667,72.5,27.5
0.621333,72.5,27.5
0.621,72.5,27.5
0.620667,72.5,27.5
0.620333,72.5,27.5
0.62,72.5,27.5
0.619667,72.5,27.5
0.619333,72.5,27.5
0.619,72.5,27.5
0.618667,72.5,27.5
0.618333,72.5,27.5
0.618,72.5,27.5
0.617667,72.5,27.5
0.617333,72.5,27.5
0.617,72.5,27.5
0.616667,72.5,27.5
0.616333,72.5,27.5
0.616,72.5,27.5
0.615667,72.5,27.5
0.615333,72.5,27.5
0.615,72.5,27.5
0.614667,72.5,27.5
0.614333,72.5,27.5
0.614,72.5,27.5
0.613667,72.5,27.5
0.613333,72.5,27.5
0.613,72.5,27.5
0.612667,72.5,27.5
0.612333,72.5,27.5
0.612,72.5,27.5
0.611667,72.5,27.5
0.611333,72.5,27.5
0.611,72.5,27.5
0.610667,72.5,27.5
0.610333,72.5,27.5
0.61,72.5,27.5
0.609667,72.5,27.5
0.609333,72.5,27.5
0.609,72.5,27.5
0.608667,72.5,27.5
0.608333,73,27
0.608,73,27
0.607667,73,27
0.607333,73,27
0.607,73,27
0.606667,73,27
0.606333,73,27
0.606,73,27
0.605667,73,27
0.605333,73,27
0.605,73,27
0.604667,73,27
0.604333,73,27
0.604,73,27
0.603667,73,27
0.603333,73,27
0.603,73,27
0.602667,73,27
0.602333,73,27
0.602,73,27
0.601667,73,27
0.601333,73,27
0.601,73,27
0.600667,73,27
0.600333,73,27
0.6,73,27
0.599667,73,27
0.599333,73,27
0.599,73,27
0.598667,73,27
0.598333,73,27
0.598,73,27
0.597667,73,27
0.597333,73,27
0.597,73,27
0.596667,73,27
0.596333,73,27
0.596,73,27
0.595667,73,27
0.595333,73,27
0.595,73,27
0.594667,73,27
0.594333,73,27
0.594,73,27
0.593667,73,27
0.593333,73,27
0.593,73,27
0.592667,73,27
0.592333,73,27
0.592,73,27
0.591667,73,27
0.591333,73,27
0.591,73,27
0.590667,73,27
0.590333,73,27
0.59,73,27
0.589667,73,27
0.589333,73,27
0.589,73,27
0.588667,73,27
0.588333,73,27
0.588,73,27
0.587667,73,27
0.587333,73,27
0.587,73,27
0.586667,73,27
0.586333,73,27
0.586,73,27
0.585667,73,27
0.585333,73,27
0.585,73,27
0.584667,73,27
0.584333,73,27
0.584,73,27
0.583667,73,27
0.583333,73,27
0.583,73,27
0.582667,73,27
0.582333,73,27
0.582,73,27
0.581667,73,27
0.581333,73,27
0.581,73,27
0.580667,73,27
0.580333,73,27
0.58,73,27
0.579667,73,27
0.579333,73,27
0.579,73,27
0.578667,73,27
0.578333,73,27
0.578,73,27
0.577667,73,27
0.577333,73,27
0.577,73,27
0.576667,73,27
0.576333,73,27
0.576,73,27
0.575667,73,27
0.575333,73,27
0.575,73,27
0.574667,73,27
0.574333,73,27
0.574,73,27
0.573667,73,27
0.573333,73,27
0.573,73,27
0.572667,73,27
0.572333,73,27
0.572,73,27
0.571667,73,27
0.571333,73,27
0.571,73,27
0.570667,73,27
0.570333,73,27
0.57,73,27
0.569667,73,27
0.569333,73,27
0.569,73,27
0.568667,73,27
0.568333,73,27
0.568,73,27
0.567667,73,27
0.567333,73,27
0.567,73.5,26.5
0.566667,73.5,26.5
0.566333,73.5,26.5
0.566,73.5,26.5
